file,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
base_model-cftr,0.18632996915957586,0.05745175903188447,0.14375425673093087,0.14403346312126616,0.8259732127189636,0.8771268725395203,0.8505846858024597
base_model-coref,0.1883043882210062,0.058470836562536106,0.1445388447859466,0.14494949137490065,0.8267276287078857,0.8776634931564331,0.8512322902679443
base_model-raw,0.1898330694297049,0.06100550366677293,0.14710633876448734,0.14742647513520107,0.8274086117744446,0.8783535957336426,0.8519219756126404
base_model-textrank,0.18747494359407318,0.0575013167901733,0.14426329612216826,0.14457428634840866,0.8260675072669983,0.8775550127029419,0.8508350253105164
fine_model-cftr,0.24676742862504242,0.1357424719062953,0.20944835053058403,0.20970471178496702,0.8386925458908081,0.8991556763648987,0.8675819039344788
fine_model-coref,0.25260166101920745,0.1452510713051255,0.216686893451043,0.2169574538905646,0.8403400182723999,0.9011139273643494,0.8693699836730957
fine_model-raw,0.2535501143202261,0.1444561139082146,0.21646931243693146,0.21660942254663354,0.8405187726020813,0.9015273451805115,0.8696644902229309
fine_model-textrank,0.25205826766093997,0.1407711791938462,0.2134039678615689,0.2135066622690423,0.8401132225990295,0.9008152484893799,0.8691211938858032
student_a-cftr,0.31193817414413133,0.23644882214250776,0.2873212400641224,0.2867616692572032,0.8580373525619507,0.9194791913032532,0.8873169422149658
student_a-coref,0.3220219772861025,0.251231345138893,0.29788178138068067,0.2975178675714409,0.8599008321762085,0.9230000376701355,0.8899563550949097
student_a-raw,0.3232055130709936,0.2534964775905282,0.29955805691628484,0.2994540710813271,0.8604370355606079,0.9239518642425537,0.8906698226928711
student_a-textrank,0.31754263398766186,0.24191164368257514,0.2910084090203406,0.2909191031405183,0.8586906790733337,0.9209688901901245,0.8883619904518127
student_b-cftr,0.31309531726540707,0.23709313274171806,0.2846087348717997,0.2850362818235895,0.859838604927063,0.9192914962768555,0.8882068991661072
student_b-coref,0.32652873455624365,0.25625694314525466,0.30112733985416773,0.3015599153558597,0.861921489238739,0.9244403839111328,0.8917200565338135
student_b-raw,0.3260227518248334,0.257064020801487,0.30023852101651943,0.3004822328443387,0.8617977499961853,0.9243241548538208,0.891599178314209
student_b-textrank,0.31638980087014523,0.24317048466968527,0.2895713944095685,0.28947125521009914,0.8599457144737244,0.9204995036125183,0.8888269662857056
